0.98328,22
1.0033,22
1.0234,22
1.0435,22
1.0635,22
1.0836,22
1.1037,22
1.1237,22
1.1438,22
1.1639,22
1.1839,22
1.204,22
1.2241,22
1.2441,22
1.2642,22
1.2843,22
1.3043,22
1.3244,22
1.3445,22
1.3645,22
1.3846,22
1.4047,22
1.4247,22
1.4448,22
1.4649,22
1.4849,22
1.505,22
1.5251,22
1.5452,22
1.5652,22
1.5853,22
1.6054,22
1.6254,22
1.6455,22
1.6656,22
1.6856,22
1.7057,22
1.7258,22
1.7458,22
1.7659,22
1.786,22
1.806,22
1.8261,22
1.8462,22
1.8662,23
1.8863,24
1.9064,24
1.9264,24
1.9465,24
1.9666,24
1.9866,25
2.0067,26
2.0268,27
2.0468,28
2.0669,29
2.087,31
2.107,35
2.1271,39
2.1472,43
2.1672,49
2.1873,55
2.2074,61
2.2274,67
2.2475,71
2.2676,73
2.2876,75
2.3077,79
2.3278,81
2.3478,82
2.3679,83
2.388,82
2.408,82
2.4281,81
2.4482,80
2.4682,80
2.4883,79
2.5084,78
2.5284,78
2.5485,77
2.5686,75
2.5886,74
2.6087,73
2.6288,72
2.6488,71
2.6689,70
2.689,69
2.709,68
2.7291,69
2.7492,70
2.7692,70
2.7893,70
2.8094,70
2.8294,71
2.8495,72
2.8696,73
2.8896,75
2.9097,79
2.9298,83
2.9498,85
2.9699,89
2.99,93
3.01,95
3.0301,98
3.0502,100
3.0702,100
3.0903,99
3.1104,97
3.1304,93
3.1505,89
3.1706,85
3.1906,81
3.2107,79
3.2308,77
3.2508,75
3.2709,74
3.291,74
3.311,74
3.3311,74
3.3512,73
3.3712,72
3.3913,72
3.4114,72
3.4314,72
3.4515,72
3.4716,72
3.4916,73
3.5117,74
3.5318,74
3.5518,74
3.5719,75
3.592,76
3.612,77
3.6321,79
3.6522,83
3.6722,87
3.6923,91
3.7124,95
3.7324,99
3.7525,103
3.7726,107
3.7926,109
3.8127,113
3.8328,114
3.8528,113
3.8729,105
3.893,101
3.913,93
3.9331,87
3.9532,83
3.9732,78
3.9933,77
4.0134,75
4.0334,74
4.0535,74
4.0736,73
4.0936,73
4.1137,74
4.1338,74
4.1538,74
4.1739,74
4.194,74
4.214,71
4.2341,74
4.2542,74
4.2742,75
4.2943,76
4.3144,76
4.3344,77
4.3545,81
4.3746,83
4.3946,89
4.4147,93
4.4348,99
4.4548,105
4.4749,109
4.495,115
4.5151,119
4.5351,125
4.5552,126
4.5753,125
4.5953,115
4.6154,105
4.6355,97
4.6555,89
4.6756,83
4.6957,79
4.7157,77
4.7358,75
4.7559,73
4.7759,72
4.796,72
4.8161,71
4.8361,70
4.8562,70
4.8763,70
4.8963,71
4.9164,72
4.9365,72
4.9565,72
4.9766,72
4.9967,73
5.0167,75
5.0368,77
5.0569,79
5.0769,81
5.097,87
5.1171,93
5.1371,101
5.1572,107
5.1773,113
5.1973,119
5.2174,127
5.2375,133
5.2575,133
5.2776,131
5.2977,117
5.3177,107
5.3378,95
5.3579,85
5.3779,81
5.398,77
5.4181,75
5.4381,73
5.4582,72
5.4783,71
5.4983,71
5.5184,72
5.5385,72
5.5585,73
5.5786,74
5.5987,74
5.6187,74
5.6388,75
5.6589,76
5.6789,76
5.699,77
5.7191,79
5.7391,83
5.7592,87
5.7793,93
5.7993,101
5.8194,109
5.8395,119
5.8595,127
5.8796,131
5.8997,147
5.9197,153
5.9398,153
5.9599,143
5.9799,125
6,111
6.0201,99
6.0401,89
6.0602,83
6.0803,81
6.1003,77
6.1204,76
6.1405,76
6.1605,75
6.1806,74
6.2007,74
6.2207,74
6.2408,74
6.2609,74
6.2809,75
6.301,76
6.3211,76
6.3411,77
6.3612,79
6.3813,81
6.4013,85
6.4214,91
6.4415,99
6.4615,109
6.4816,119
6.5017,123
6.5217,139
6.5418,151
6.5619,167
6.5819,167
6.602,165
6.6221,147
6.6421,129
6.6622,111
6.6823,99
6.7023,87
6.7224,81
6.7425,79
6.7625,77
6.7826,76
6.8027,75
6.8227,74
6.8428,74
6.8629,74
6.8829,71
6.903,74
6.9231,74
6.9431,74
6.9632,75
6.9833,77
7.0033,79
7.0234,83
7.0435,87
7.0635,93
7.0836,105
7.1037,115
7.1237,127
7.1438,141
7.1639,153
7.1839,167
7.204,183
7.2241,183
7.2441,177
7.2642,155
7.2843,131
7.3043,113
7.3244,99
7.3445,87
7.3645,81
7.3846,77
7.4047,75
7.4247,74
7.4448,74
7.4649,74
7.4849,73
7.505,72
7.5251,73
7.5452,74
7.5652,74
7.5853,74
7.6054,75
7.6254,77
7.6455,79
7.6656,85
7.6856,93
7.7057,103
7.7258,115
7.7458,131
7.7659,147
7.786,163
7.806,185
7.8261,205
7.8462,205
7.8662,201
7.8863,173
7.9064,143
7.9264,119
7.9465,103
7.9666,91
7.9866,83
8.0067,79
8.0268,77
8.0468,75
8.0669,73
8.087,72
8.107,72
8.1271,72
8.1472,72
8.1672,71
8.1873,71
8.2074,72
8.2274,72
8.2475,72
8.2676,73
8.2876,79
8.3077,85
8.3278,95
8.3478,109
8.3679,129
8.388,153
8.408,183
8.4281,213
8.4482,237
8.4682,237
8.4883,205
8.5084,167
8.5284,133
8.5485,109
8.5686,95
8.5886,85
8.6087,79
8.6288,77
8.6488,75
8.6689,74
8.689,73
8.709,73
8.7291,74
8.7492,74
8.7692,74
8.7893,74
8.8094,74
8.8294,74
8.8495,75
8.8696,77
8.8896,79
8.9097,81
8.9298,89
8.9498,103
8.9699,125
8.99,161
9.01,209
9.0301,265
9.0502,289
9.0702,289
9.0903,241
9.1104,189
9.1304,147
9.1505,117
9.1706,99
9.1906,87
9.2107,81
9.2308,77
9.2508,76
9.2709,75
9.291,74
9.311,74
9.3311,74
9.3512,71
9.3712,74
9.3913,74
9.4114,74
9.4314,75
9.4515,76
9.4716,76
9.4916,77
9.5117,83
9.5318,91
9.5518,107
9.5719,131
9.592,165
9.612,207
9.6321,241
9.6522,241
9.6722,219
9.6923,185
9.7124,157
9.7324,133
9.7525,113
9.7726,101
9.7926,91
9.8127,83
9.8328,79
9.8528,77
9.8729,76
9.893,76
9.913,75
9.9331,74
9.9532,74
9.9732,75
9.9933,76
10.013,76
10.033,76
10.054,77
10.074,79
10.094,83
10.114,93
